routeId,capacity,deliveriesNumber,routeCreationTimestamp
r-shiinc-240549,3,14,"2020-05-04 19:03:01"
r-shiinc-240558,3,13,"2020-05-04 19:33:46"
r-shiinc-240586,3,7,"2020-05-04 20:22:23"
r-shiinc-240600,3,15,"2020-05-04 21:24:22"
r-shiinc-240601,3,15,"2020-05-04 21:24:22"
r-shiinc-240602,3,15,"2020-05-04 21:24:22"
r-shiinc-240606,4,22,"2020-05-04 21:48:46"
r-shiinc-240607,4,18,"2020-05-04 21:53:24"
r-shiinc-240609,4,18,"2020-05-04 21:57:26"
r-shiinc-240611,4,19,"2020-05-04 22:01:02"
r-shiinc-240620,3,17,"2020-05-04 22:19:57"
r-shiinc-240621,3,18,"2020-05-04 22:19:59"
r-shiinc-240622,3,22,"2020-05-04 22:19:59"
r-shiinc-240623,3,22,"2020-05-04 22:19:59"
r-shiinc-240626,3,22,"2020-05-04 22:20:01"
r-shiinc-240627,3,22,"2020-05-04 22:20:01"
r-shiinc-240628,3,22,"2020-05-04 22:20:01"
r-shiinc-240629,3,22,"2020-05-04 22:20:01"
r-shiinc-240630,3,21,"2020-05-04 22:20:03"
r-shiinc-240631,3,22,"2020-05-04 22:20:04"
r-shiinc-240632,3,13,"2020-05-04 22:20:04"
r-shiinc-240634,3,24,"2020-05-04 22:29:02"
r-shiinc-240636,3,31,"2020-05-04 22:43:54"
r-shiinc-240637,3,26,"2020-05-04 22:43:57"
r-shiinc-240638,3,27,"2020-05-04 22:43:58"
r-shiinc-240639,3,25,"2020-05-04 22:43:58"
r-shiinc-240640,3,26,"2020-05-04 22:43:59"
r-shiinc-240641,3,26,"2020-05-04 22:44:01"
r-shiinc-240642,3,31,"2020-05-04 22:44:02"
r-shiinc-240643,3,28,"2020-05-04 22:44:03"
r-shiinc-240644,3,23,"2020-05-04 22:44:07"
r-shiinc-240645,3,29,"2020-05-04 22:44:08"
r-shiinc-240646,3,29,"2020-05-04 22:44:08"
r-shiinc-240647,3,28,"2020-05-04 22:44:08"
r-shiinc-240648,3,27,"2020-05-04 22:44:10"
